date,target_logvar
2015-12-04,-6.955619529795557
2015-12-05,-7.598320647064531
2015-12-06,-6.540847123315431
2015-12-07,-6.023128805162834
2015-12-08,-6.128939063569876
2015-12-09,-6.115543841478959
2015-12-10,-6.083328289507088
2015-12-11,-6.738372517763519
2015-12-12,-7.237646753288096
2015-12-13,-7.305910048947332
2015-12-14,-7.29868285199254
2015-12-15,-7.543400377532105
2015-12-16,-7.6392010368835175
2015-12-17,-7.690794238508502
2015-12-18,-7.7770226002648375
2015-12-19,-7.244967698944882
2015-12-20,-8.37494892987162
2015-12-21,-6.2542622846022935
2015-12-22,-6.20122345322681
2015-12-23,-6.249415127711154
2015-12-24,-6.278420862152659
2015-12-25,-6.2961628750106
2015-12-26,-8.378621876705049
2015-12-27,-8.430390630505187
2015-12-28,-8.417886604014619
2015-12-29,-9.124090538394851
2015-12-30,-9.746131022575852
2015-12-31,-9.907197982741172
2016-01-01,-10.262427356766166
2016-01-02,-6.894612972751936
2016-01-03,-6.868597714954654
2016-01-04,-6.764748701284567
2016-01-05,-6.777258621040727
2016-01-06,-6.815699634114982
2016-01-07,-8.833709523265675
2016-01-08,-8.828336971122424
2016-01-09,-8.829108028068141
2016-01-10,-5.464662762873058
2016-01-11,-5.073195537731598
2016-01-12,-5.06888063193105
2016-01-13,-5.0313563158403
2016-01-14,-5.04051766802421
2016-01-15,-5.866284767784412
2016-01-16,-5.84617322842852
2016-01-17,-5.476431765445563
2016-01-18,-5.4759878498575265
2016-01-19,-5.45329297941085
2016-01-20,-6.375529111511784
2016-01-21,-6.379450427873435
2016-01-22,-7.428901086468999
2016-01-23,-6.971569719876657
2016-01-24,-7.873193458755664
2016-01-25,-8.099190319891678
2016-01-26,-7.995775836239733
2016-01-27,-7.865811587820726
2016-01-28,-8.584573620124122
2016-01-29,-8.50648521410888
2016-01-30,-7.0282751972217214
2016-01-31,-7.300258650041603
2016-02-01,-6.989069165762627
2016-02-02,-6.989314644620226
2016-02-03,-7.013156855820629
2016-02-04,-8.792021192840046
2016-02-05,-8.309012030052264
2016-02-06,-9.3289907366244
2016-02-07,-9.128537683012091
2016-02-08,-9.300519723736933
2016-02-09,-8.274208710826844
2016-02-10,-7.636094311719532
2016-02-11,-7.781300663555437
2016-02-12,-7.763869308319855
2016-02-13,-7.77223323671063
2016-02-14,-8.194594806456825
2016-02-15,-8.359171176026338
2016-02-16,-8.202357306633147
2016-02-17,-8.079616090660057
2016-02-18,-7.176221190772203
2016-02-19,-7.156351035059659
2016-02-20,-7.909086877502617
2016-02-21,-7.653280562546742
2016-02-22,-7.64728940750075
2016-02-23,-9.691263212207886
2016-02-24,-9.702429728808669
2016-02-25,-9.397164860219219
2016-02-26,-8.623773353406042
2016-02-27,-8.660505438613587
2016-02-28,-8.396132432074793
2016-02-29,-9.05677209613698
2016-03-01,-7.910481940758577
2016-03-02,-7.7088435968587845
2016-03-03,-7.704808638115973
2016-03-04,-8.109894720164352
2016-03-05,-9.557280368281441
2016-03-06,-9.966926055947821
2016-03-07,-8.626761092134423
2016-03-08,-8.569855186196008
