date,target_ewma
2014-06-25,0.016043774976754504
2014-06-26,0.02524204623026044
2014-06-27,0.025628780518112033
2014-06-28,0.02153732786686338
2014-06-29,0.017788006982529383
2014-06-30,0.032223391999604487
2014-07-01,0.02909395685535141
2014-07-02,0.023769460223736574
2014-07-03,0.0236237777833507
2014-07-04,0.025164415318011196
2014-07-05,0.020615307730840523
2014-07-06,0.01732735615278428
2014-07-07,0.017681381542091583
2014-07-08,0.014801161019262305
2014-07-09,0.012154511729130225
2014-07-10,0.011304130728407838
2014-07-11,0.018431099982112717
2014-07-12,0.015079660816623167
2014-07-13,0.01472090309706364
2014-07-14,0.013185002956006433
2014-07-15,0.011615411841950984
2014-07-16,0.009972513822461187
2014-07-17,0.010986971184271728
2014-07-18,0.009972816205842552
2014-07-19,0.00841667154736852
