date,target_garch
2014-10-02,0.035176446585028075
2014-10-03,0.034643263944937365
2014-10-04,0.035034764279592207
2014-10-05,0.03903544341051902
2014-10-06,0.03840616512872422
2014-10-07,0.038191258308735966
2014-10-08,0.0375686926890754
2014-10-09,0.038517898511497034
2014-10-10,0.03813008503161024
2014-10-11,0.03754511858782102
2014-10-12,0.036168862896960155
2014-10-13,0.03684614800762748
2014-10-14,0.036719533490045766
2014-10-15,0.036873575116921124
2014-10-16,0.03612982279377092
2014-10-17,0.03591472865429584
2014-10-18,0.035105236195182486
2014-10-19,0.03466375094534049
2014-10-20,0.03390438849120602
2014-10-21,0.03335888360605356
2014-10-22,0.032742898542936175
2014-10-23,0.03210734118746596
2014-10-24,0.034500692185721396
2014-10-25,0.033755218586542075
2014-10-26,0.03364354074874182
